項目,金額,年度
法人税、住民税及び事業税,13302,2018
法人税等調整額,-437,2018
法人税等合計,12864,2018
当期純利益,25298,2018
非支配株主に帰属する当期純損失（△）,-3,2018
親会社株主に帰属する当期純利益,25301,2018
当期純利益,25298,2018
その他の包括利益,-653,2018
その他有価証券評価差額金,27,2018
為替換算調整勘定,-704,2018
退職給付に係る調整額,24,2018
包括利益,24645,2018
親会社株主に係る包括利益,24649,2018
非支配株主に係る包括利益,-4,2018
企業名,Seven Bank,2018
税金等調整前当期純利益,38163,2018
減価償却費,17102,2018
のれん償却額,990,2018
貸倒引当金の増減（△）,6,2018
賞与引当金の増減額（△は減少）,-12,2018
退職給付に係る資産又は負債の増減額,-43,2018
役員退職慰労引当金の増減額（△は減少）,2,2018
株式給付引当金の増減額（△は減少）,102,2018
資金運用収益,-3391,2018
資金調達費用,718,2018
為替差損益（△は益）,9,2018
固定資産処分損益（△は益）,141,2018
貸出金の純増（△）減,-2886,2018
預金の純増減（△）,50895,2018
コールマネー等の純増減（△）,-10000,2018
普通社債発行及び償還による増減（△）,-15000,2018
ＡＴＭ未決済資金の純増（△）減,-36423,2018
資金運用による収入,3815,2018
資金調達による支出,-799,2018
その他,-689,2018
小計,42700,2018
法人税等の支払額,-11239,2018
法人税等の還付額,5,2018
営業活動によるキャッシュ・フロー,31466,2018
有価証券の取得による支出,-17269,2018
有価証券の償還による収入,33015,2018
有形固定資産の取得による支出,-8468,2018
無形固定資産の取得による支出,-10927,2018
投資活動によるキャッシュ・フロー,-3649,2018
配当金の支払額,-11316,2018
自己株式の取得による支出,-380,2018
その他,-33,2018
財務活動によるキャッシュ・フロー,-11729,2018
現金及び現金同等物に係る換算差額,-306,2018
現金及び現金同等物の増減額（△は減少）,15780,2018
現金及び現金同等物の期首残高,694588,2018
現金及び現金同等物の期末残高,710369,2018
企業名,Seven Bank,2018
現金預け金,694588,2017
有価証券,77866,2017
貸出金,19829,2017
ＡＴＭ仮払金,89286,2017
その他資産,15064,2017
有形固定資産,25740,2017
建物,1724,2017
ＡＴＭ,19867,2017
その他の有形固定資産,4148,2017
無形固定資産,34473,2017
ソフトウエア,19424,2017
その他の無形固定資産,15049,2017
退職給付に係る資産,183,2017
繰延税金資産,790,2017
貸倒引当金,-30,2017
資産の部合計,957792,2017
預金,571510,2017
譲渡性預金,800,2017
コールマネー,10000,2017
借用金,10000,2017
社債,110000,2017
ＡＴＭ仮受金,37763,2017
その他負債,16992,2017
賞与引当金,471,2017
退職給付に係る負債,1,2017
繰延税金負債,1170,2017
負債の部合計,758710,2017
資本金,30572,2017
資本剰余金,30554,2017
利益剰余金,132093,2017
自己株式,-0,2017
株主資本合計,193221,2017
その他有価証券評価差額金,217,2017
為替換算調整勘定,5012,2017
退職給付に係る調整累計額,73,2017
その他の包括利益累計額合計,5303,2017
新株予約権,533,2017
非支配株主持分,22,2017
純資産の部合計,199081,2017
負債及び純資産の部合計,957792,2017
企業名,Seven Bank,2017
経常収益,121608,2017
資金運用収益,2848,2017
貸出金利息,2704,2017
有価証券利息配当金,26,2017
コールローン利息,2,2017
預け金利息,115,2017
役務取引等収益,118226,2017
受入為替手数料,2358,2017
ＡＴＭ受入手数料,112051,2017
その他の役務収益,3815,2017
その他業務収益,249,2017
その他経常収益,283,2017
貸倒引当金戻入益,34,2017
その他の経常収益,248,2017
経常費用,84897,2017
資金調達費用,954,2017
預金利息,320,2017
譲渡性預金利息,0,2017
コールマネー利息,-20,2017
借用金利息,105,2017
社債利息,548,2017
役務取引等費用,23092,2017
支払為替手数料,1359,2017
ＡＴＭ設置支払手数料,18693,2017
ＡＴＭ支払手数料,1527,2017
その他の役務費用,1511,2017
営業経費,60781,2017
その他経常費用,68,2017
その他の経常費用,68,2017
経常利益,36710,2017
特別損失,167,2017
固定資産処分損,167,2017
税金等調整前当期純利益,36542,2017
法人税、住民税及び事業税,11701,2017
法人税等調整額,-272,2017
法人税等合計,11429,2017
当期純利益,25113,2017
非支配株主に帰属する当期純損失（△）,-1,2017
親会社株主に帰属する当期純利益,25114,2017
当期純利益,25113,2017
その他の包括利益,-509,2017
その他有価証券評価差額金,-126,2017
為替換算調整勘定,-450,2017
退職給付に係る調整額,67,2017
包括利益,24604,2017
親会社株主に係る包括利益,24605,2017
非支配株主に係る包括利益,-1,2017
企業名,Seven Bank,2017
税金等調整前当期純利益,36542,2017
減価償却費,18766,2017
のれん償却額,960,2017
貸倒引当金の増減（△）,-34,2017
退職給付に係る資産又は負債の増減額,-16,2017
資金運用収益,-2848,2017
資金調達費用,954,2017
固定資産処分損益（△は益）,167,2017
貸出金の純増（△）減,-3620,2017
預金の純増減（△）,24529,2017
借用金の純増減（△）,-5021,2017
コールローン等の純増（△）減,25000,2017
コールマネー等の純増減（△）,10000,2017
ＡＴＭ未決済資金の純増（△）減,-5944,2017
資金運用による収入,3086,2017
資金調達による支出,-1011,2017
その他,-628,2017
小計,100882,2017
法人税等の支払額,-12802,2017
法人税等の還付額,38,2017
営業活動によるキャッシュ・フロー,88118,2017
有価証券の取得による支出,-33849,2017
有価証券の償還による収入,21000,2017
有形固定資産の取得による支出,-6712,2017
無形固定資産の取得による支出,-9256,2017
投資活動によるキャッシュ・フロー,-28818,2017
ストックオプションの行使による収入,0,2017
配当金の支払額,-10419,2017
その他,-26,2017
財務活動によるキャッシュ・フロー,-10446,2017
現金及び現金同等物に係る換算差額,-103,2017
現金及び現金同等物の増減額（△は減少）,48750,2017
現金及び現金同等物の期首残高,645838,2017
現金及び現金同等物の期末残高,694588,2017
企業名,Seven Bank,2017
現金預け金,645838,2016
コールローン,25000,2016
有価証券,66797,2016
貸出金,16208,2016
ＡＴＭ仮払金,83407,2016
その他資産,11961,2016
有形固定資産,30890,2016
建物,1741,2016
ＡＴＭ,25493,2016
その他の有形固定資産,3656,2016
無形固定資産,34356,2016
ソフトウエア,18626,2016
その他の無形固定資産,15730,2016
退職給付に係る資産,68,2016
繰延税金資産,921,2016
貸倒引当金,-65,2016
資産の部合計,915385,2016
預金,546981,2016
譲渡性預金,800,2016
借用金,15022,2016
社債,110000,2016
ＡＴＭ仮受金,37830,2016
その他負債,17807,2016
賞与引当金,458,2016
退職給付に係る負債,0,2016
繰延税金負債,1690,2016
負債の部合計,730590,2016
資本金,30514,2016
資本剰余金,30496,2016
利益剰余金,117402,2016
自己株式,-0,2016
株主資本合計,178412,2016
その他有価証券評価差額金,343,2016
為替換算調整勘定,5462,2016
退職給付に係る調整累計額,6,2016
その他の包括利益累計額合計,5812,2016
新株予約権,545,2016
非支配株主持分,24,2016
純資産の部合計,184794,2016
負債及び純資産の部合計,915385,2016
企業名,Seven Bank,2016
経常収益,119939,2016
資金運用収益,2274,2016
貸出金利息,2078,2016
有価証券利息配当金,58,2016
コールローン利息,35,2016
預け金利息,102,2016
役務取引等収益,117265,2016
受入為替手数料,2039,2016
ＡＴＭ受入手数料,111619,2016
その他の役務収益,3606,2016
その他業務収益,193,2016
その他経常収益,206,2016
その他の経常収益,206,2016
経常費用,82772,2016
資金調達費用,1253,2016
預金利息,565,2016
譲渡性預金利息,2,2016
コールマネー利息,18,2016
借用金利息,113,2016
社債利息,553,2016
役務取引等費用,21661,2016
支払為替手数料,1164,2016
ＡＴＭ設置支払手数料,17858,2016
ＡＴＭ支払手数料,1448,2016
その他の役務費用,1190,2016
営業経費,59757,2016
その他経常費用,99,2016
貸倒引当金繰入額,18,2016
その他の経常費用,81,2016
経常利益,37167,2016
特別損失,210,2016
固定資産処分損,210,2016
税金等調整前当期純利益,36956,2016
法人税、住民税及び事業税,12666,2016
法人税等調整額,-413,2016
法人税等合計,12252,2016
当期純利益,24703,2016
非支配株主に帰属する当期純損失（△）,-13,2016
親会社株主に帰属する当期純利益,24716,2016
当期純利益,24703,2016
その他の包括利益,-68,2016
その他有価証券評価差額金,-17,2016
為替換算調整勘定,-44,2016
退職給付に係る調整額,-6,2016
包括利益,24635,2016
親会社株主に係る包括利益,24655,2016
非支配株主に係る包括利益,-19,2016
企業名,Seven Bank,2016
税金等調整前当期純利益,36956,2016
減価償却費,18779,2016
のれん償却額,1069,2016
貸倒引当金の増減（△）,18,2016
退職給付に係る資産又は負債の増減額,-18,2016
資金運用収益,-2274,2016
資金調達費用,1253,2016
有価証券関係損益（△）,-2,2016
為替差損益（△は益）,-8,2016
固定資産処分損益（△は益）,210,2016
貸出金の純増（△）減,-5801,2016
預金の純増減（△）,45568,2016
譲渡性預金の純増減（△）,40,2016
借用金の純増減（△）,-976,2016
コールローン等の純増（△）減,-12000,2016
ＡＴＭ未決済資金の純増（△）減,-1817,2016
資金運用による収入,2295,2016
資金調達による支出,-1395,2016
その他,-2161,2016
小計,79735,2016
法人税等の支払額,-13268,2016
法人税等の還付額,15,2016
営業活動によるキャッシュ・フロー,66482,2016
有価証券の取得による支出,-43013,2016
有価証券の売却による収入,334,2016
有価証券の償還による収入,49000,2016
有形固定資産の取得による支出,-10511,2016
無形固定資産の取得による支出,-7444,2016
投資活動によるキャッシュ・フロー,-11634,2016
配当金の支払額,-9823,2016
その他,-2,2016
財務活動によるキャッシュ・フロー,-9826,2016
現金及び現金同等物に係る換算差額,-42,2016
現金及び現金同等物の増減額（△は減少）,44978,2016
現金及び現金同等物の期首残高,600859,2016
現金及び現金同等物の期末残高,645838,2016
企業名,Seven Bank,2016
現金預け金,600859,2015
コールローン,13000,2015
有価証券,71853,2015
貸出金,10406,2015
ＡＴＭ仮払金,81617,2015
その他資産,10411,2015
有形固定資産,31673,2015
建物,1671,2015
ＡＴＭ,26090,2015
その他の有形固定資産,3911,2015
無形固定資産,35625,2015
ソフトウエア,18579,2015
その他の無形固定資産,17046,2015
退職給付に係る資産,60,2015
繰延税金資産,951,2015
貸倒引当金,-46,2015
資産の部合計,856415,2015
預金,501413,2015
譲渡性預金,760,2015
借用金,16000,2015
社債,110000,2015
ＡＴＭ仮受金,37857,2015
その他負債,17890,2015
賞与引当金,449,2015
退職給付に係る負債,0,2015
繰延税金負債,2154,2015
負債の部合計,686525,2015
資本金,30514,2015
資本剰余金,30514,2015
利益剰余金,102511,2015
自己株式,-0,2015
株主資本合計,163539,2015
その他有価証券評価差額金,360,2015
為替換算調整勘定,5500,2015
退職給付に係る調整累計額,13,2015
その他の包括利益累計額合計,5874,2015
新株予約権,449,2015
少数株主持分,26,2015
純資産の部合計,169890,2015
負債及び純資産の部合計,856415,2015
企業名,Seven Bank,2015
経常収益,114036,2015
資金運用収益,1372,2015
貸出金利息,1157,2015
有価証券利息配当金,150,2015
コールローン利息,37,2015
預け金利息,27,2015
役務取引等収益,112274,2015
受入為替手数料,1664,2015
ＡＴＭ受入手数料,107213,2015
その他の役務収益,3396,2015
その他業務収益,161,2015
その他経常収益,227,2015
貸倒引当金戻入益,9,2015
その他の経常収益,217,2015
経常費用,76997,2015
資金調達費用,1254,2015
預金利息,545,2015
譲渡性預金利息,13,2015
コールマネー利息,14,2015
借用金利息,141,2015
社債利息,539,2015
役務取引等費用,19174,2015
支払為替手数料,942,2015
ＡＴＭ設置支払手数料,16311,2015
ＡＴＭ支払手数料,1178,2015
その他の役務費用,742,2015
その他業務費用,53,2015
営業経費,56419,2015
その他経常費用,95,2015
その他の経常費用,95,2015
経常利益,37038,2015
特別損失,195,2015
固定資産処分損,195,2015
税金等調整前当期純利益,36842,2015
法人税、住民税及び事業税,13544,2015
法人税等調整額,79,2015
法人税等合計,13624,2015
少数株主損益調整前当期純利益,23218,2015
少数株主損失（△）,-2,2015
当期純利益,23220,2015
少数株主損益調整前当期純利益,23218,2015
その他の包括利益,2378,2015
その他有価証券評価差額金,357,2015
為替換算調整勘定,1889,2015
退職給付に係る調整額,132,2015
包括利益,25597,2015
親会社株主に係る包括利益,25597,2015
少数株主に係る包括利益,-0,2015
企業名,Seven Bank,2015
税金等調整前当期純利益,36842,2015
減価償却費,16251,2015
のれん償却額,933,2015
貸倒引当金の増減（△）,-9,2015
退職給付に係る資産又は負債の増減額,23,2015
資金運用収益,-1372,2015
資金調達費用,1254,2015
有価証券関係損益（△）,-19,2015
為替差損益（△は益）,-14,2015
固定資産処分損益（△は益）,195,2015
貸出金の純増（△）減,-5149,2015
預金の純増減（△）,63824,2015
借用金の純増減（△）,-5000,2015
コールローン等の純増（△）減,2000,2015
普通社債発行及び償還による増減（△）,-5000,2015
ＡＴＭ未決済資金の純増（△）減,8060,2015
資金運用による収入,1407,2015
資金調達による支出,-1302,2015
その他,1811,2015
小計,114737,2015
法人税等の支払額,-14805,2015
営業活動によるキャッシュ・フロー,99931,2015
有価証券の取得による支出,-25411,2015
有価証券の売却による収入,1687,2015
有価証券の償還による収入,50500,2015
有形固定資産の取得による支出,-13489,2015
無形固定資産の取得による支出,-8352,2015
その他,60,2015
投資活動によるキャッシュ・フロー,4994,2015
少数株主からの払込みによる収入,26,2015
ストックオプションの行使による収入,0,2015
配当金の支払額,-9231,2015
財務活動によるキャッシュ・フロー,-9204,2015
現金及び現金同等物に係る換算差額,149,2015
現金及び現金同等物の増減額（△は減少）,95872,2015
現金及び現金同等物の期首残高,504987,2015
現金及び現金同等物の期末残高,600859,2015
